id,name,birth,rating,noOfTimesRated
303847,Jamielyn Lippman,1976,0,0
149842,Kushal Chakraborty,1966,0,0
715104,Yekaterina Rednikova,1973,0,0
1040603,Bujar Lako,1947,0,0
1049368,Zaha Hadid,1950,0,0
268556,Farruquito,1982,0,0
2421117,Christopher Abbott,1980,0,0
386724,István Hirtling,1958,0,0
1772703,Rasmus Kaljujärv,1981,0,0
2222628,Wayne Marc Godfrey,1981,0,0
7319,Finn Aabye,1935,0,0
501168,Guillaume Lemay-Thivierge,1976,0,0
1936675,Bill Williamson,1986,0,0
245368,Evgeniy Dvorzhetskiy,1960,0,0
230738,Carlos Eduardo Dolabella,1937,0,0
1030409,Gábor Karalyos,1980,0,0
672022,Hermanno Penna,1945,0,0
548346,Jodie Markell,1959,0,0
794705,Craig Shoemaker,1962,0,0
487424,Louise Laparé,1949,0,0
39317,Chris Ashworth,1975,0,0
905984,Kristina Wagner,1962,0,0
4022903,Renato Vallanzasca,1950,0,0
1475535,Balázs Szöllöskei,1987,0,0
1764501,Alfonso Leng,1884,0,0
3079891,Yoon-tae Kim,1972,0,0
833733,P.A. Straubinger,1970,0,0
937308,Danuta Wodynska,1922,0,0
770635,Reiner Schöne,1942,0,0
41374,Raymond Aubrac,1914,0,0
267340,Miguel Faria Jr.,1944,0,0
2292149,Astrid Schult,1979,0,0
321874,Gil Glasgow,1953,0,0
618424,Klaus Münster,1935,0,0
1459788,Andrea Pazienza,1956,0,0
767627,Snezana Savic,1953,0,0
1597588,Paul Robert Lingas,1974,0,0
1320542,Joop van Zijl,1935,0,0
850102,Amanda Tapping,1965,0,0
996898,Ichiro Furutachi,1954,0,0
1465871,Ivan Sandomire,1977,0,0
60789,Charles Bateman,1930,0,0
841286,Jan Svikruha,1911,0,0
8285800,Nick DeBoer,1998,0,0
2194174,Brice Marden,1938,0,0
598093,Corbett Monica,1930,0,0
1295504,Nani Widjaja,1944,0,0
1167648,Siba,1969,0,0
3523201,Fabio Stoll,1984,0,0
1543856,Alec Butler,1959,0,0
400968,Todd Hughes,1963,0,0
1643380,Bob Harper,1965,0,0
215502,Richard Rionda Del Castro,1967,0,0
174883,Didi Conn,1951,0,0
3907879,Cody Campanale,1988,0,0
539402,Pierre Malet,1955,0,0
969667,Fernando Marés de Souza,1976,0,0
863839,Tin Leung,1931,0,0
1706571,Bret McKinney,1963,0,0
12557,Ljubica Adzovic,1924,0,0
603377,David Moreau,1972,0,0
1651701,Christian Stella,1985,0,0
1670456,Pepito Miró,1982,0,0
2183372,Louis Dussol,1997,0,0
539741,Igor Malishevsky,1936,0,0
10035775,Mauro Curreri,1972,0,0
1315225,Andrei Mignea,1977,0,0
1885415,Iván Ugalde,1975,0,0
207891,Gonzalo de Castro,1963,0,0
5919837,Shara Lin,1985,0,0
641373,Tommy O'Haver,1968,0,0
562111,Robert May,1905,0,0
2470832,Stephan Tölle,1976,0,0
2158427,Herty Lewites,1939,0,0
436535,Jack Kamen,1920,0,0
389830,Brian Hohlfeld,1957,0,0
4885949,Lexi Atkins,1993,0,0
231281,Malgorzata Domalik,1954,0,0
928767,Moshe Wilensky,1910,0,0
222384,William Deverell,1937,0,0
340443,Bredo Greve,1939,0,0
589723,Billy Milliken,1933,0,0
1919152,Lisa Remington,1979,0,0
88813,Adèle Bloemendaal,1933,0,0
518627,Beba Loncar,1943,0,0
1845064,Hiromi Eguchi,1982,0,0
374589,Robert Heinz,1948,0,0
444328,Dorota Kedzierzawska,1957,0,0
2635725,Ashish Kumar Loho,1937,0,0
5284,Chris Olivero,1984,0,0
692444,Joannah Portman,1975,0,0
283749,Annette Focks,1964,0,0
42757,Luis Avalos,1946,0,0
2631015,Elliot Diviney,1982,0,0
916136,Jim Webb,1946,0,0
665505,Katherine Paterson,1932,0,0
5460,Mary Steenburgen,1953,0,0
352621,Audris Chadaravicius,1935,0,0
2777927,Javad Hashemi,1966,0,0
522223,Pierre Louÿs,1870,0,0
529383,Pyotr Lyubeshkin,1913,0,0
4751,Crystal Bernard,1961,0,0
149831,Tulsi Chakraborty,1899,0,0
53873,Marga Barbu,1929,0,0
8117041,David Cajal,1986,0,0
5374530,Ke-Xi Wu,1983,0,0
1877684,Doina Cornea,1929,0,0
498517,Andrew Lee Potts,1979,0,0
1747371,Kurt Biedenkopf,1930,0,0
6215524,Greg Meyer,1971,0,0
2679097,Irwansyah,1985,0,0
6410,Jason Allentoff,1981,0,0
803747,May Skaf,1969,0,0
434581,Michael J. Kagan,1926,0,0
69245,Louie Bellson,1924,0,0
8404679,Johannes Heinrichs,1990,0,0
2348978,Valeri Borzov,1949,0,0
410945,Toshirô Ishidô,1932,0,0
2596979,Bruno Ciordia,1979,0,0
4802818,Mohammad Ali Sepanlou,1940,0,0
1947060,Ae-Yeon Jeong,1986,0,0
1027705,Ti Ai,1953,0,0
1951006,Kwame Rakes,1973,0,0
2040927,Kristína Farkasová,1982,0,0
8022839,Tatyana Babenkova,1991,0,0
580123,Raúl Meraz,1927,0,0
1800336,Kirsi Kunnas,1924,0,0
1115889,Alonzo F. Jones,1970,0,0
6008845,Irina Efremova,1980,0,0
111197,Stefan Brogren,1972,0,0
4486,Bruno Ganz,1941,0,0
381511,Nigel Hess,1953,0,0
557407,Paul Massie,1932,0,0
223326,Rosemary Dexter,1944,0,0
2017466,Ben Chavis,1948,0,0
270162,Marina Fedina,1962,0,0
1962696,Susheela Raman,1973,0,0
3599233,Köves Krisztián Károly,1979,0,0
131537,David Cameron,1933,0,0
4627263,Sayantani Ghosh,1985,0,0
822321,Jirí Stanislav,1946,0,0
581103,Mario Merola,1934,0,0
1286999,Seifollah Dad,1955,0,0
246264,Sándor Dánffy,1932,0,0
742975,Cathy Rosier,1945,0,0
1048282,Sandra Pires,1969,0,0
3596959,Jaz Sinclair,1994,0,0
4812773,Tarun Jain,1985,0,0
752170,Peta Rutter,1959,0,0
3123241,Galina Gudova,1959,0,0
653952,Kelly Overton,1978,0,0
842197,Skip Sweeney,1946,0,0
1699094,Raci Sasmaz,1973,0,0
4538429,Maksim Tikhonov,1990,0,0
870145,K.C. Townsend,1942,0,0
628688,Marika Nezer,1906,0,0
784318,M. Phil Senini,1953,0,0
175228,Phillip Connery,1963,0,0
2545567,Nematollah Aghasi,1939,0,0
1348578,Doug Luberts,1958,0,0
1698994,Manabu Nakanishi,1967,0,0
312267,Henry Geldzahler,1935,0,0
1991201,Aine Leicht,1980,0,0
4937581,Dusan Brkovic,1986,0,0
586277,Sándor Mihályfy,1937,0,0
2063821,Scott Gracheff,1971,0,0
928243,Larry Wilcox,1947,0,0
203903,Peter Maxwell Davies,1934,0,0
5506401,Jasmin Savoy Brown,1994,0,0
7154395,Mirjam Mous,1963,0,0
398884,Chin Hu,1947,0,0
196578,Dan Sonney,1915,0,0
2310,David Trulli,1961,0,0
7422626,Shailik Bhaumik,1984,0,0
1425584,Kharaj Mukherjee,1963,0,0
398664,Frank Hruby,1962,0,0
155988,Andrei Chernykh,1960,0,0
133912,Giovanni Canevari,1967,0,0
330721,Albert Gore Sr.,1907,0,0
147408,Cazuza,1958,0,0
1997864,Lun Hua,1954,0,0
264515,Ron Faber,1933,0,0
6878,Michael B. Silver,1967,0,0
319076,Mickey Gilley,1936,0,0
166049,Rolf Clemens,1937,0,0
262912,John Morgan Evans,1942,0,0
710884,David Rappaport,1951,0,0
1519441,Robert Aldous,1934,0,0
506991,Bubba Lewis,1989,0,0
448088,Jane Kennedy,1964,0,0
702429,Etienne Périer,1931,0,0
409546,Tony Iommi,1948,0,0
959774,Jonas Åkerlund,1965,0,0
575599,Ron Medico,1947,0,0
1123777,Shaun Fox,1978,0,0
1308243,Colin Bishop,1973,0,0
1637776,Oliver Haffner,1974,0,0
4152,Roel Reiné,1969,0,0
1372499,Yoshitomo Yonetani,1963,0,0
1887326,Omar El-Saeidi,1980,0,0
4366,Tom Wolfe,1930,0,0
389374,Isabella Hofmann,1958,0,0
2356026,Bree Essrig,1990,0,0
77074,Jesse Bernstein,1974,0,0
348643,Robin Gurland,1956,0,0
445731,Michael Keller,1980,0,0
7866285,Mihail Curagau,1943,0,0
886404,Werther van der Sarren,1941,0,0
6733156,Lina El Arabi,1995,0,0
329740,David Gopsill,1956,0,0
208577,Mile de Gleria,1927,0,0
884770,Paul Valjean,1935,0,0
1748322,Alessandra Cannito,1991,0,0
